n_facilities,weighted_avg_distance_km,max_distance_km,p95_distance_km,coverage_3km_%,coverage_5km_%,coverage_10km_%,method,K_target,runtime_s,eps_km,n_noise
5,14.848958187325916,51.45402521067376,35.263894009209466,2.9508873297565,8.532810565414776,27.98184069335534,Agglomerative-average,5.0,0.03930926322937012,,
5,10.992786560618855,45.985286368773885,23.54872963585903,3.765992571192736,10.359059017746596,45.63557573256294,Agglomerative-complete,5.0,0.029970645904541016,,
5,8.825186010499243,200.29815112973972,22.972676949960555,11.690053652496903,21.13082955014445,69.46966570367313,Agglomerative-ward,5.0,0.006783485412597656,,
10,8.453149002473186,29.71640371703917,17.394058456003684,9.244737928188195,21.615765579859676,69.33553446141147,Agglomerative-average,10.0,0.02733302116394043,,
10,8.154927154933283,35.55521371003376,17.699789775712468,9.213784564589352,23.607098638052,68.70614940156831,Agglomerative-complete,10.0,0.027463436126708984,,
10,6.062793039401752,42.806997618487756,15.651809760577189,17.829137432934377,48.90631448617416,86.56624019810153,Agglomerative-ward,10.0,0.008209705352783203,,
15,7.620582195672011,18.118606865566793,12.751287755578117,12.422616591002889,26.826248452331818,74.65951300041272,Agglomerative-average,15.0,0.028831958770751953,,
15,6.055206946218163,21.885402231228003,13.745479968973692,18.12835328105654,39.7544366487825,90.3631861328931,Agglomerative-complete,15.0,0.02708292007446289,,
15,5.188591633515005,27.092575206834848,12.27826397452961,19.964919521254643,55.973999174576974,93.25216673545192,Agglomerative-ward,15.0,0.006790876388549805,,
20,6.7668815862276075,12.800187193199797,11.401407935961375,14.3107717705324,29.725546842756913,88.05200165084605,Agglomerative-average,20.0,0.027980804443359375,,
20,5.124889545962917,14.65030918472569,10.709651276899336,22.451506397028478,52.97152290548907,95.30540652084193,Agglomerative-complete,20.0,0.029591798782348633,,
20,4.488995518675426,25.16693052939989,9.499164463143648,27.837391663227407,66.17829137432935,95.9966983078828,Agglomerative-ward,20.0,0.006898164749145508,,
25,5.020197129992193,12.156437610154835,10.86008897148092,23.442014032191498,55.953363598844405,94.23235658274865,Agglomerative-average,25.0,0.027700185775756836,,
25,4.142808015232535,14.65030918472569,8.810086632213416,30.77796120511762,69.75856376392902,98.97853900123813,Agglomerative-complete,25.0,0.02855086326599121,,
25,3.7053843128612907,18.118606865566793,8.301861787943242,42.77754849360297,78.21914981427982,97.84358233594718,Agglomerative-ward,25.0,0.008345603942871094,,
30,3.8873152987869153,11.283306132908361,8.1255385402976,34.502682624845235,72.16260833677259,99.60792406108129,Agglomerative-average,30.0,0.02899765968322754,,
30,3.7446858569731853,14.65030918472569,7.630087949849389,36.22575319851424,76.80561287659926,99.82459760627322,Agglomerative-complete,30.0,0.029660701751708984,,
30,3.5028419274281637,17.26662910668635,7.118789006295261,46.90466364011556,81.53115971935617,98.03962030540652,Agglomerative-ward,30.0,0.007720947265625,,
5,8.598140283075226,198.36716476890408,21.281136363062558,8.955839867932315,29.715229054890628,71.68799009492365,KMeans-weighted,5.0,0.03521227836608887,,
10,5.869699537777585,194.3275523034714,16.047976034178472,17.086256706562114,48.40074288072637,90.64176640528271,KMeans-weighted,10.0,0.013955831527709961,,
15,4.761104926786752,172.46748686054772,12.61959883361073,26.578621543541065,61.77259595542716,95.02682624845234,KMeans-weighted,15.0,0.02016162872314453,,
20,4.008349333282261,25.247101921551575,12.064589241703802,39.89888567891044,73.12216260833677,97.23483285183656,KMeans-weighted,20.0,0.02294182777404785,,
25,3.338274495654735,17.944692183554388,9.319800851369559,53.72472141972761,82.05736690053652,98.17375154766818,KMeans-weighted,25.0,0.030609607696533203,,
30,2.7732570920562467,16.84990739850758,8.771881671960907,66.1473380107305,90.38382170862566,98.76186545604622,KMeans-weighted,30.0,0.036185264587402344,,
75,2.639524323549154,196.2941931242393,9.28520436328035,78.74535699546017,87.84564589352043,95.05777961205118,DBSCAN,,0.03248763084411621,1.0,379.0
37,4.781513123808995,196.8477194384821,9.006232462253493,36.865456046223684,57.4081716879901,95.73875361122576,DBSCAN,,0.03070807456970215,1.5,154.0
28,6.919500546090037,184.39604188576104,13.373816466055839,23.617416425918282,35.224927775484936,72.24515063970284,DBSCAN,,0.031764984130859375,2.0,94.0
19,8.700213647589102,184.86112341319674,16.138275373355746,12.97977713578209,24.267437061494014,58.08914568716467,DBSCAN,,0.030745506286621094,2.5,49.0
15,9.997795190481632,184.86112341319674,17.18892548158238,9.347915806851011,17.91167973586463,48.18406933553446,DBSCAN,,0.03020787239074707,3.0,35.0
12,10.532663261392557,184.86112341319674,20.00400890135483,7.470078415187784,16.271151465125875,46.12051176227816,DBSCAN,,0.03368711471557617,4.0,13.0
6,14.291049492829067,184.86112341319674,29.51397799178719,4.942220387948824,8.646306231943871,30.18984729673958,DBSCAN,,0.03139972686767578,5.0,10.0
2,16.57321992887601,234.96076849328193,44.590080695355994,3.095336359884441,8.419314898885679,26.062732150226992,DBSCAN,,0.03185129165649414,7.0,7.0
