n_facilities,weighted_avg_distance_km,max_distance_km,p95_distance_km,coverage_3km_%,coverage_5km_%,coverage_10km_%,method,K_target,runtime_s,eps_km,n_noise
5,14.848958187325916,51.45402521067376,35.263894009209466,2.9508873297565,8.532810565414776,27.98184069335534,Agglomerative-average,5.0,0.04270362854003906,,
5,10.992786560618855,45.985286368773885,23.54872963585903,3.765992571192736,10.359059017746596,45.63557573256294,Agglomerative-complete,5.0,0.03268742561340332,,
5,8.825186010499243,200.29815112973972,22.972676949960555,11.690053652496903,21.13082955014445,69.46966570367313,Agglomerative-ward,5.0,0.007654428482055664,,
5,8.598140283075226,198.36716476890408,21.281136363062558,8.955839867932315,29.715229054890628,71.68799009492365,KMeans-weighted,5.0,0.0233151912689209,,
5,8.527324328400969,222.64466286936025,30.479038502410788,16.828312009905076,39.81634337598019,76.85720181593067,P-Median,5.0,0.04661154747009277,,
10,8.453149002473186,29.71640371703917,17.394058456003684,9.244737928188195,21.615765579859676,69.33553446141147,Agglomerative-average,10.0,0.03710484504699707,,
10,8.154927154933283,35.55521371003376,17.699789775712468,9.213784564589352,23.607098638052,68.70614940156831,Agglomerative-complete,10.0,0.03549909591674805,,
10,6.062793039401752,42.806997618487756,15.651809760577189,17.829137432934377,48.90631448617416,86.56624019810153,Agglomerative-ward,10.0,0.008638381958007812,,
10,5.869699537777585,194.3275523034714,16.047976034178472,17.086256706562114,48.40074288072637,90.64176640528271,KMeans-weighted,10.0,0.01626110076904297,,
10,6.157433361561491,215.0870128867399,26.418911505133345,39.073462649607926,61.25670656211308,86.37020222864219,P-Median,10.0,0.06094932556152344,,
15,7.620582195672011,18.118606865566793,12.751287755578117,12.422616591002889,26.826248452331818,74.65951300041272,Agglomerative-average,15.0,0.037476301193237305,,
15,6.055206946218163,21.885402231228003,13.745479968973692,18.12835328105654,39.7544366487825,90.3631861328931,Agglomerative-complete,15.0,0.03689098358154297,,
15,5.188591633515005,27.092575206834848,12.27826397452961,19.964919521254643,55.973999174576974,93.25216673545192,Agglomerative-ward,15.0,0.00809025764465332,,
15,4.761104926786752,172.46748686054772,12.61959883361073,26.578621543541065,61.77259595542716,95.02682624845234,KMeans-weighted,15.0,0.01998734474182129,,
15,5.190749980397023,183.25033106459088,24.320853092265473,50.196037969459354,70.87288485348742,89.54808089145688,P-Median,15.0,0.08500313758850098,,
20,6.7668815862276075,12.800187193199797,11.401407935961375,14.3107717705324,29.725546842756913,88.05200165084605,Agglomerative-average,20.0,0.03857135772705078,,
20,5.124889545962917,14.65030918472569,10.709651276899336,22.451506397028478,52.97152290548907,95.30540652084193,Agglomerative-complete,20.0,0.03749871253967285,,
20,4.488995518675426,25.16693052939989,9.499164463143648,27.837391663227407,66.17829137432935,95.9966983078828,Agglomerative-ward,20.0,0.008065462112426758,,
20,4.008349333282261,25.247101921551575,12.064589241703802,39.89888567891044,73.12216260833677,97.23483285183656,KMeans-weighted,20.0,0.026068925857543945,,
20,4.558918083215133,183.25033106459088,23.963026283359127,61.380520016508456,77.5588113908378,90.12587701196864,P-Median,20.0,0.10205221176147461,,
25,5.020197129992193,12.156437610154835,10.86008897148092,23.442014032191498,55.953363598844405,94.23235658274865,Agglomerative-average,25.0,0.03720402717590332,,
25,4.142808015232535,14.65030918472569,8.810086632213416,30.77796120511762,69.75856376392902,98.97853900123813,Agglomerative-complete,25.0,0.03680276870727539,,
25,3.7053843128612907,18.118606865566793,8.301861787943242,42.77754849360297,78.21914981427982,97.84358233594718,Agglomerative-ward,25.0,0.008479118347167969,,
25,3.338274495654735,17.944692183554388,9.319800851369559,53.72472141972761,82.05736690053652,98.17375154766818,KMeans-weighted,25.0,0.03328895568847656,,
25,4.234898364058727,183.25033106459088,23.963026283359127,66.65290961617829,78.65249690466364,90.68303755674783,P-Median,25.0,0.16916823387145996,,
