geolocation_zip_code_prefix,lat,lng,city,n_records
22452,-22.952645498107493,-43.30267070542142,rio de janeiro,13
22453,-22.978469157654736,-43.23383336857298,rio de janeiro,1
22460,-22.964834958641692,-43.22490223070295,rio de janeiro,236
22461,-22.961345034096052,-43.213641388050824,rio de janeiro,263
22470,-22.96550432697566,-43.21544841322038,rio de janeiro,268
22471,-22.967625971408513,-43.203212882392485,rio de janeiro,336
22473,-22.9310185387212,-43.35047496113457,rio de janeiro,1
22600,-22.987548430202757,-43.2532473467255,rio de janeiro,2
22610,-22.99599813649958,-43.261663703422506,rio de janeiro,269
22611,-23.008068841447862,-43.29861176534447,rio de janeiro,104
22620,-23.00947497991475,-43.334530048914964,rio de janeiro,472
22621,-23.010803499326403,-43.3098866524811,rio de janeiro,304
22630,-23.010131257960495,-43.338679519974164,rio de janeiro,410
22631,-23.00365666838398,-43.34075885321385,rio de janeiro,832
22640,-23.001267617010633,-43.3355988370672,rio de janeiro,361
22641,-22.986105098852665,-43.311520670632305,rio de janeiro,90
22710,-22.934576022997884,-43.37578841332682,rio de janeiro,207
22711,-22.91373119718309,-43.39089712057767,rio de janeiro,7
22713,-22.930174584016687,-43.39608391214564,rio de janeiro,153
22715,-22.923355641776098,-43.383046917508274,rio de janeiro,27
22720,-22.918167419985295,-43.38651552844117,rio de janeiro,75
22723,-22.91689708484027,-43.40278883313536,rio de janeiro,159
22725,-22.91150171276762,-43.37652610722419,rio de janeiro,88
22730,-22.920002522357752,-43.3695754073506,rio de janeiro,124
22733,-22.906015750671408,-43.364980246342064,rio de janeiro,44
22735,-22.920928532759326,-43.358465481509604,rio de janeiro,49
22740,-22.92625659532195,-43.35975777828106,rio de janeiro,122
22743,-22.930174278267923,-43.34644038809006,rio de janeiro,225
22745,-22.935058480174078,-43.333594070428546,rio de janeiro,193
22750,-22.94338467090066,-43.33437919544068,rio de janeiro,219
22753,-22.96619236089961,-43.330734513875434,rio de janeiro,203
22755,-22.947502549436848,-43.33814210193203,rio de janeiro,59
22760,-22.938856559491374,-43.34583380346626,rio de janeiro,48
22763,-22.949418433889697,-43.38717689639774,rio de janeiro,100
22765,-22.954431333815165,-43.35527342221761,rio de janeiro,136
22770,-22.93691091371265,-43.36097335035081,rio de janeiro,188
22772,-22.95005017710918,-43.360847511047254,rio de janeiro,8
22773,-22.94846910030558,-43.364489898207424,rio de janeiro,26
22775,-22.969148201152674,-43.383065237968154,rio de janeiro,506
22776,-22.99004850815858,-43.35448107201586,rio de janeiro,44
22778,-22.93935898306312,-43.371185648883504,rio de janeiro,1
22780,-22.962843790439337,-43.40116578306731,rio de janeiro,196
22783,-22.984082408782115,-43.44889019919411,rio de janeiro,212
22785,-22.979900329721087,-43.49176475913368,rio de janeiro,76
22790,-23.01298650422646,-43.46551954103294,rio de janeiro,687
22793,-23.00061899109568,-43.40471828456725,rio de janeiro,469
22795,-23.020470737334893,-43.46265642068304,rio de janeiro,349
23010,-22.885872200386764,-43.51372891804045,rio de janeiro,79
23012,-22.891289709125683,-43.528538034861306,rio de janeiro,56
23013,-22.90125781010044,-43.541434503067336,rio de janeiro,132
23015,-22.908174032805224,-43.53967787825952,rio de janeiro,58
23016,-22.912595307197087,-43.53593879115358,rio de janeiro,55
23017,-22.91957476261591,-43.52855570225305,rio de janeiro,144
23020,-23.0049905225767,-43.54784520457546,rio de janeiro,150
23025,-22.99046924798533,-43.61550570181899,rio de janeiro,47
23026,-22.99073734829478,-43.63045092144838,rio de janeiro,54
23027,-23.00123690831294,-43.64009513690838,rio de janeiro,44
23028,-22.98056296317437,-43.65998986714787,rio de janeiro,58
23030,-22.96669955681108,-43.6017686687425,rio de janeiro,66
23031,-22.964378631240205,-43.61186736926677,rio de janeiro,66
23032,-22.972563998366834,-43.64295047031437,rio de janeiro,68
23033,-22.955943986568656,-43.60659613358818,rio de janeiro,58
23035,-22.945894102935657,-43.594457021538446,rio de janeiro,105
23036,-22.937899966329617,-43.578646142633474,rio de janeiro,105
23040,-22.9331056624521,-43.554113810125514,rio de janeiro,202
23042,-22.92777932523722,-43.554503392883646,rio de janeiro,68
23045,-22.916840745702153,-43.56234010712124,rio de janeiro,229
23047,-22.925942886418497,-43.561357507907644,rio de janeiro,72
23050,-22.906374170614942,-43.566410061329776,rio de janeiro,119
23052,-22.906619343447986,-43.55224985960651,rio de janeiro,144
23055,-22.909949489657397,-43.5764230099429,rio de janeiro,71
23056,-22.91817364118816,-43.6123717550704,rio de janeiro,60
23057,-22.917530927852997,-43.528324896794466,rio de janeiro,43
23058,-22.914787266177115,-43.59078039553711,rio de janeiro,70
23059,-22.913307945677737,-43.590429851372164,rio de janeiro,124
23060,-22.896089584185965,-43.59889671190928,rio de janeiro,150
23061,-22.908445285088447,-43.60810021286953,rio de janeiro,40
23062,-22.90265768897671,-43.59917193270753,rio de janeiro,49
23063,-22.897521961702388,-43.591752252623216,rio de janeiro,49
